argument,score
The death penalty is the best way to ensure that a murderer does not kill again,0.374931505
The death penalty is the best way to prevent a murderer from killing again.,0.272838367
The death penalty is the most cost-effective method of dealing with sociopaths,0.81980285
"The death penalty is the most appropriate retribution for heinous crimes such as serial murder or the rape of children, and sometimes it is not even enough.",0.957580803
"The death penalty is the only acceptable punishment for a heinous crime, because they are so evil that life in prison is not enough.",0.958193826
The death penalty is the only real solution for criminals who commit terrible crimes.,0.955843858
The death penalty is the only way to deter violent crime,0.843755814
The death penalty is the only way to guarantee that a prisoner will not be released because a prisoner can be released on the basis of formality or mistreatment by guards.,0.733140522
The death penalty is the only way to punish those who commit serious crimes; an eye for an eye.,0.635873903
Death penalty is the ultimate deterrent,0.821569379
"The death penalty is too risky if innocent people are sometimes killed; until it can be proven with certainty that a person is guilty, the death penalty always represents too high a risk.",0.564566495
"The death penalty is useless; in fact, imprisonment is much better, since criminal courts could imprison innocent people.",0.267430699
The death penalty is violent and does not really help anyone.,0.353059347
The death penalty is wrong because it is like murder.,0.058188809
The death penalty increases security in prisons by preventing the prison population from being exposed to particularly horrific criminals.,0.091264287
The death penalty kills people. God said you should not kill!,0.004160104
"The death penalty increases the risk of committing a crime in which you permanently lose your life and everything that is important to you, which increases the deterrence of the legal system.",0.036470529
The death penalty can help to deal with the growing threat of terrorism and terrorist attacks.,0.927239658
The death penalty may be the only way to fairly punish a criminal for an extremely terrible crime.,0.961440075
"The death penalty must be retained as the ultimate punishment for the most heinous crime, and others must be shown an example that this needs to be reconsidered as a result of your actions.",0.804741083
The death penalty normalizes state violence and has the power of life and death over citizens.,0.719321224
"The death penalty often costs the state and taxpayers more than simply keeping someone in prison for life, which means that abolishing the death penalty would save time and pressure on the court.",0.999304188
"The death penalty often goes wrong and leaves people suffering, but still alive.",0.058650975
"The death penalty gives the victim's family a strong sense of isolation, and the absence of it could harm them.",0.941183583
"The death penalty provides a more effective deterrent than a simple fine, penalty or lenient sentence.",0.992978343
"The death penalty provides for a punishment commensurate with the crime committed, and anyone who kills should expect to be killed.",0.258470954
The death penalty is both the ultimate deterrent and the ultimate punishment for the most heinous crime.,0.899350915
"The death penalty closes out the victim's family, which can rely on the perpetrator literally being able to do no more harm to anyone.",0.605164231
The death penalty does not provide an opportunity to correct miscarriages of justice.,0.91828431
"The death penalty permanently excludes victims and their families, who have suffered immense trauma and have been subjected to severe pain by the criminal.",0.999282845
The death penalty offers comfort to the loved one of the deceased that the criminal will not be released.,0.719737226
The death penalty is the best outcome for the victim's family. They can be reassured because they know that the person who has harmed their family can no longer harm anyone.,0.771598838
Death penalty remains a good deterrent for serious crimes,0.858127398
"The death penalty saves money and resources that can be spent elsewhere, where society generally cannot benefit from a convicted criminal.",0.48382421
"The death penalty sends a message to other criminals that if you commit a terrible crime, you will be severely punished",0.990013343
The death penalty is a deterrent for criminals. They see the negative consequences of the actions of themselves and others.,0.959936504
The death penalty is the ultimate deterrent for the most heinous crimes and therefore reduces their number for the benefit of the population.,0.915644286
"The death penalty should be absolutely abolished, because it is inhumane to kill a person, no matter how badly he behaves. An eye for an eye blinds the whole world.",0.956609869
"The death penalty should be abolished if a man has no right to choose another life, no matter what that person has done.",0.744983398
"The death penalty should be abolished, because man is not the one who should make the decision to take a life, but should leave it to Almighty God.",0.025877386
The death penalty should be abolished because too many innocent people are being executed because they have been wrongly accused.,0.922291716
"The death penalty should be retained to be used in the most extreme and horrific crimes, not so much as as a deterrent, but as a way of achieving some form of justice.",0.414507141
"The death penalty should be optional for parents, and they should be allowed to punish children for their mistakes and draw attention to important things in their lives.",0.001572398
"The death penalty should be removed from society, as it is a backward and medieval solution to crimes that have no place in a modern society.",0.901964588
The death penalty should not be abolished; it could act as a deterrent to hardened criminals.,0.24491125
The death penalty should not be used in schools.,0.000559173
"The death penalty should continue to have a deterrent effect on horrific crimes, so that this kind of crime does not get out of hand.",0.502984531
Sometimes the death penalty goes wrong and causes incredible suffering to the victim.,0.630767871
The execution of the death penalty takes too long and a lengthy appeal process costs taxpayers money.,0.994536148
The execution of the death penalty takes too long.,0.007264038
The death penalty violates the cruel and unusual penalty clause in the Constitution,0.770063863
The death penalty will stop those who do not belong in the world,2.16e-05
The death penalty would have a deterrent effect on serious crimes.,0.967346908
The death penalty would be unfair to those who have been wrongly sentenced to death for a crime they did not commit.,0.908414259
The death penalty wrongly gives the government the power to take human life.,0.995960395
"The death penalty is mainly against men of color, and sometimes even innocent people are executed; you cannot make amends for killing a person.",0.850010031
Capitalism has shown empirically that it improves technology and drives innovation faster than economies based on collectivist practice.,0.926555534
"Capitalist practice has empirically created massive wealth inequality and created an underclass of the majority of the population, which means that while innovation can take place, most do not benefit from this growth.",0.969032959
"Careful protection from child performers should enable child performers to be safe, while at the same time leading a life in the entertainment industry that enables future prosperity with the money they have earned.",0.425501914
"Carrying a baby is an emotionally difficult experience. There are fluctuations in the hormonal balance, a high potential for depression during and after pregnancy.",0.668835812
Celibacy allows a man or woman to remain fully focused and committed to their devotion to God without any external distraction.,0.042192442
Celibacy allows a priest to concentrate on his job and his community without the complications that come with coping with relationship and family.,0.938367803
Celibacy enables the priest to concentrate fully on his parish without distraction.,0.812846836
"Celibacy allows them to concentrate more on their work and do it better, because that would be their highest priority.",0.950060262
Celibacy before marriage protects young people from diseases,0.003808616
Celibacy can be empowering and make you value sex more when you finally have it.,0.002769311
Celibacy may have value in an increasingly populous world.,0.180553195
Celibacy shows a degree of sacrifice required to dedicate one's life to the saint.,0.931830991
Celibacy discourages otherwise talented people from joining the clergy.,0.441791956
"Celibacy is in line with their religion, so it would not make sense to give it up.",0.01880448
"Celibacy has a positive side: it promotes self-confidence and avoids pregnancies or sexually transmitted diseases. Within the sacred order, it enables greater devotion to God's work.",0.044934541
"Celibacy has no place in the 21st century, and it is almost impossible to suppress human needs.",0.868210134
"Celibacy has many virtues, offers protection against disease and prevents unwanted pregnancy.",0.387722287
"Celibacy in the Church is an antiquated vow and should be abandoned. It causes harm in the form of unnatural acts against easy prey in order to satisfy the sexual urge, which is normal and treated as sin.",0.927518011
"Celibacy is a profession of faith, however ridiculous.",0.033338757
"Celibacy is and should remain a major tenant of the Catholic Church, it is a free exercise of the religious concept. It is a demonstration of fidelity to God, a degree of purity that most will never have.",0.67309858
"Celibacy is a personal decision. It is up to the individual to observe it, and others should respect that decision.",0.932987141
"Celibacy is a fairly strong religious belief. Those who believe in celibacy should have the right to do so. Sex before marriage is a sin in their eyes, and society should not judge.",0.414275377
Celibacy is a state of purity in which the Church should maintain a devotion to God. It shows a sacrifice of the priest and his profession of religious principles and enables people to believe in their leader.,0.564995874
"Celibacy is a test of faith and an opportunity to express the meaning of this faith through denial. If you make a vow, it is important to keep it, otherwise it becomes worthless.",0.984498474
Celibacy is a time-honored tradition that allows priests to focus exclusively on their commitment to the Church.,0.043424511
Celibacy is a way for people to show their devotion to a cause. It requires a lot of devotion to show a real commitment to their cause and their faith.,0.799878579
Celibacy is an important part of devotion to God.,0.038303472
Celibacy is an important part of the priesthood and holiness.,0.837538158
Celibacy is an important part of the profession of faith in the Church,0.462336575
Celibacy is an outdated idea of the early Church. Many priests do not keep the vows they make.,0.693329004
Celibacy is an outdated ideology and until recently did not apply to religious orders.,0.983573616
Celibacy is an outdated proactive vow that should be abandoned,0.486389234
"Celibacy is an outdated, unrealistic way of thinking",0.4988925
Celibacy is an unnatural condition for human beings. Those to whom celibacy is imposed often abuse children.,0.720378737
Celibacy is an unnatural condition for man and should be abandoned by the Church and others. It leads to negative behavior based on the attempt to suppress a normal human reproductive urge.,0.997007041
"Celibacy is an unnatural condition; if the sex drive is suppressed, it can manifest itself in dangerous ways.",0.85448012
"Celibacy is antiquated and is no longer respected in modern society, so it should be abandoned.",0.818293479
"Celibacy is antiquated, and with the reduction of excessive religious belief celibacy no longer needs encouragement or encouragement.",0.491741027
"Celibacy is a connection with God, and any prohibition would be sin and should not be touched.",0.133108886
Celibacy is necessary to connect people on a spiritual level and not on a purely physical level.,0.504290311
Celibacy is no longer considered an important quality,0.787144415
"Celibacy is not a dogma of faith and I believe it is a gift to the Church, it is an option for those who choose not to marry.",0.190520232
"Celibacy is not a natural human condition, and imposing it on priests only leads to them expressing their sexuality inappropriately.",0.670209986
"Celibacy is not a natural state for a human person and should therefore not be imposed on anyone. However, if a person wishes to make a vow without being forced to do so, this is acceptable.",0.040165273
Celibacy is not an act of commitment,0.000829591
"Celibacy is old and obsolete, we must abolish the vow.",0.008123846
Celibacy is responsible for the cover-up of child abuse by the Catholic Church,0.146518203
"Celibacy is something that people want to practice so that they can dedicate their lives to their purpose, be it religion, sport or anything else.",0.176040045
"Celibacy is an individual's choice of a well, a display of moral virtue, and should be encouraged rather than discouraged.",0.750967397
Celibacy is the only 100% effective way to prevent pregnancy.,0.001323806
Celibacy is too difficult to understand.,0.039412424
Celibacy is unnatural and not a useful purpose with regard to a person's faith,0.983257427
Celibacy rests with each individual.,0.175697787
Celibacy makes people work on what is important in their lives,0.006931065
Celibacy prevents young people from becoming pregnant,0.003103271
